operacao,custo,total,media
1,630,630,630.0
2,630,1260,630.0
3,630,1890,630.0
4,630,2520,630.0
5,630,3150,630.0
6,630,3780,630.0
7,630,4410,630.0
8,630,5040,630.0
9,630,5670,630.0
10,630,6300,630.0
11,630,6930,630.0
12,630,7560,630.0
13,630,8190,630.0
14,630,8820,630.0
15,630,9450,630.0
16,630,10080,630.0
17,630,10710,630.0
18,630,11340,630.0
19,630,11970,630.0
20,630,12600,630.0
21,630,13230,630.0
22,630,13860,630.0
23,630,14490,630.0
24,630,15120,630.0
25,630,15750,630.0
26,630,16380,630.0
27,630,17010,630.0
28,630,17640,630.0
29,630,18270,630.0
30,630,18900,630.0
31,630,19530,630.0
32,630,20160,630.0
33,630,20790,630.0
34,631,21421,630.0294117647059
35,630,22051,630.0285714285715
36,630,22681,630.0277777777778
37,630,23311,630.027027027027
38,630,23941,630.0263157894736
39,630,24571,630.025641025641
40,630,25201,630.025
41,630,25831,630.0243902439024
42,631,26462,630.047619047619
43,630,27092,630.046511627907
44,630,27722,630.0454545454545
45,630,28352,630.0444444444445
46,630,28982,630.0434782608696
47,630,29612,630.0425531914893
48,631,30243,630.0625
49,630,30873,630.0612244897959
50,630,31503,630.06
51,630,32133,630.0588235294117
52,630,32763,630.0576923076923
53,630,33393,630.0566037735849
54,630,34023,630.0555555555555
55,630,34653,630.0545454545454
56,630,35283,630.0535714285714
57,630,35913,630.0526315789474
58,630,36543,630.051724137931
59,630,37173,630.0508474576271
60,630,37803,630.05
61,630,38433,630.0491803278688
62,630,39063,630.0483870967741
63,630,39693,630.047619047619
64,630,40323,630.046875
65,632,40955,630.0769230769231
66,630,41585,630.0757575757576
67,630,42215,630.0746268656717
68,631,42846,630.0882352941177
69,630,43476,630.0869565217391
70,630,44106,630.0857142857143
71,630,44736,630.0845070422536
72,630,45366,630.0833333333334
73,630,45996,630.082191780822
74,630,46626,630.081081081081
75,632,47258,630.1066666666667
76,630,47888,630.1052631578947
77,630,48518,630.1038961038961
78,630,49148,630.1025641025641
79,631,49779,630.1139240506329
80,630,50409,630.1125
81,630,51039,630.1111111111111
82,630,51669,630.109756097561
83,630,52299,630.1084337349398
84,630,52929,630.1071428571429
85,631,53560,630.1176470588235
86,630,54190,630.1162790697674
87,630,54820,630.1149425287356
88,630,55450,630.1136363636364
89,632,56082,630.1348314606741
90,630,56712,630.1333333333333
91,630,57342,630.1318681318681
92,630,57972,630.1304347826087
93,631,58603,630.1397849462365
94,632,59235,630.1595744680851
95,631,59866,630.1684210526316
96,630,60496,630.1666666666666
97,630,61126,630.1649484536083
98,632,61758,630.1836734693877
99,630,62388,630.1818181818181
100,630,63018,630.18
101,632,63650,630.1980198019802
102,630,64280,630.1960784313726
103,633,64913,630.2233009708738
104,630,65543,630.2211538461538
105,630,66173,630.2190476190476
106,630,66803,630.2169811320755
107,630,67433,630.2149532710281
108,630,68063,630.2129629629629
109,630,68693,630.2110091743119
110,630,69323,630.209090909091
111,630,69953,630.2072072072073
112,630,70583,630.2053571428571
113,633,71216,630.2300884955753
114,630,71846,630.2280701754386
115,630,72476,630.2260869565217
116,630,73106,630.2241379310345
